地域階層,地域コード,地域,令和7年1月1日現在人口,令和６年中の動き／人口増減,令和６年中の動き／社会増減（他県との移動増減）,令和６年中の動き／社会増減（他県との移動増減）／転入数,令和６年中の動き／社会増減（他県との移動増減）／転出数,令和６年中の動き／都内間の移動増減,令和６年中の動き／都内間の移動増減／転入数,令和６年中の動き／都内間の移動増減／転出数,令和６年中の動き／自然増減,令和６年中の動き／自然増減／出生数,令和６年中の動き／自然増減／死亡数,令和６年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,令和６年1月1日現在人口
4,13222,東久留米市,114635,-187,119,2134,2015,406,2819,2413,-827,627,1454,115,-414,12.88,8900 ,114822
4,13223,武蔵村山市,69537,-322,73,1118,1045,35,1619,1584,-488,324,812,58,-452,15.32,4539 ,69859
4,13224,多摩市,146429,308,477,3117,2640,541,3950,3409,-941,665,1606,231,5,21.01,6969 ,146121
4,13225,稲城市,95016,135,463,2472,2009,-194,1784,1978,-261,609,870,127,-66,17.97,5287 ,94881
4,13227,羽村市,53669,-290,123,1117,994,-258,1416,1674,-387,286,673,232,-453,9.9,5421 ,53959
4,13228,あきる野市,78244,-269,161,1025,864,232,1862,1630,-788,360,1148,126,-483,73.47,1065 ,78513
4,13229,西東京市,207726,346,263,4403,4140,254,5823,5569,-939,1148,2087,768,-347,15.75,13189 ,207380
1,13550,町村部,76392,-983,-58,1387,1445,153,2407,2254,-1241,317,1558,163,-1163,788.47,97 ,77375
2,13300,郡部,53639,-462,66,738,672,290,1519,1229,-919,195,1114,101,-581,375.86,143 ,54101
4,13303,瑞穂町,31178,-49,62,504,442,144,879,735,-315,132,447,60,-142,16.85,1850 ,31227
4,13305,日の出町,16425,-239,-22,165,187,102,428,326,-358,48,406,39,-252,28.07,585 ,16664
4,13307,檜原村,1803,-63,4,22,18,8,63,55,-75,4,79,0,-63,105.41,17 ,1866
4,13308,奥多摩町,4233,-111,22,47,25,36,149,113,-171,11,182,2,-124,225.53,19 ,4344
2,13350,島部,22753,-521,-124,649,773,-137,888,1025,-322,122,444,62,-582,412.61,55 ,23274
3,13360,大島支庁,10722,-259,-61,215,276,-36,467,503,-186,43,229,24,-288,140.92,76 ,10981
4,13361,大島町,6486,-169,-40,121,161,-34,302,336,-125,26,151,30,-193,90.76,71 ,6655
4,13362,利島村,317,-14,-6,11,17,-6,20,26,-1,2,3,-1,-13,4.04,78 ,331
4,13363,新島村,2215,-38,-9,49,58,14,85,71,-34,8,42,-9,-42,27.54,80 ,2253
